product_category_name,total_orders,total_gmv,avg_order_value,on_time_delivery_rate_pct,avg_review_score
construcao_ferramentas_seguranca,167,44463.62,266.249221556886,95.5974842767296,3.84939759036145
cool_stuff,3632,719329.95,198.053400330397,93.1722393930879,4.16963045290358
dvds_blu_ray,59,7288.13,123.527627118644,92.8571428571429,4.08620689655172
eletrodomesticos,764,94990.43,124.333023560209,93.3065595716198,4.16009636443276
eletrodomesticos_2,234,123917.92,529.563760683761,92.9515418502203,4.13362068965517
eletronicos,2550,206825.060000001,81.1078666666669,90.186730234406,4.09521928091663
eletroportateis,630,206668.83,328.045761904762,93.76026272578,4.17307692307692
esporte_lazer,7720,1156656.48,149.825968911918,92.2310756972112,4.16736210718477
fashion_bolsas_e_acessorios,1864,184273.54,98.85919527897,93.3516483516484,4.18959007551241
fashion_calcados,240,28481.64,118.6735,93.6170212765957,4.21822033898305
fashion_esporte,27,2697.64,99.9125925925926,92.3076923076923,4.25925925925926
fashion_roupa_feminina,39,3425.39,87.8305128205128,94.4444444444444,3.73076923076923
fashion_roupa_infanto_juvenil,8,665.36,83.17,100.0,4.5
fashion_roupa_masculina,112,12950.23,115.627053571429,95.2830188679245,3.7027027027027
fashion_underwear_e_moda_praia,121,11457.74,94.6920661157025,87.1794871794872,3.93333333333333
ferramentas_jardim,3518,584219.210000001,166.065722001137,92.0533642691415,4.13615560640732
flores,29,1598.91,55.1348275862069,96.551724137931,4.39285714285714
fraldas_higiene,27,2141.27,79.3062962962963,96.0,3.74074074074074
industria_comercio_e_negocios,235,47554.29,202.358680851064,91.3793103448276,4.18884120171674
informatica_acessorios,6689,1059272.4,158.360352818059,92.281776416539,4.02624454805234
instrumentos_musicais,628,210137.37,334.613646496815,91.1620294599018,4.18167202572347
la_cuisine,13,2388.54,183.733846153846,100.0,4.25
livros_importados,53,5409.7,102.069811320755,96.0,4.32075471698113
livros_interesse_geral,512,56052.3999999999,109.47734375,92.9435483870968,4.46259842519685
livros_tecnicos,260,23379.12,89.9196923076922,89.0625,4.40077821011673
malas_acessorios,1034,170875.21,165.256489361702,94.50441609421,4.33106796116505
market_place,280,33834.53,120.837607142857,95.2554744525548,4.02877697841727
moveis_colchao_e_estofado,38,5998.54,157.856315789474,86.4864864864865,3.81578947368421
moveis_cozinha_area_de_servico_jantar_e_jardim,248,58327.8,235.192741935484,95.4356846473029,4.04878048780488
moveis_decoracao,6449,902511.790000001,139.946005582261,91.5173616616458,4.00969052829009
moveis_escritorio,1273,342532.65,269.075137470542,90.829346092504,3.61638954869359
moveis_quarto,95,24661.01,259.589578947368,92.2222222222222,4.13157894736842
moveis_sala,422,86884.7300000001,205.887985781991,91.5458937198068,4.02877697841727
musica,38,6724.86,176.97,92.1052631578947,4.21052631578947
papelaria,2311,277741.710000001,120.182479446128,92.226148409894,4.24466230936819
pc_gamer,8,1679.52,209.94,100.0,3.125
pcs,181,232799.43,1286.1846961326,92.6553672316384,4.17415730337079
perfumaria,3162,453338.710000003,143.370876027831,92.6117952041478,4.20333333333333
pet_shop,1710,253876.650000001,148.465877192983,93.7203791469194,4.23809523809524
portateis_casa_forno_e_cafe,75,50193.57,669.2476,93.0555555555556,4.29333333333333
portateis_cozinha_e_preparadores_de_alimentos,14,4278.29,305.592142857143,92.3076923076923,3.42857142857143
relogios_presentes,5624,1305541.61,232.137555120911,91.4467697907189,4.06545911047346
seguros_e_servicos,2,324.51,162.255,100.0,2.5
sinalizacao_e_seguranca,140,28017.05,200.121785714286,94.2028985507247,4.10869565217391
tablets_impressao_imagem,79,8754.61,110.817848101266,93.6708860759494,4.15584415584416
telefonia,4199,394883.320000006,94.0422291021686,91.4732470070853,4.00311900191939
telefonia_fixa,217,64220.8099999999,295.948433179723,94.811320754717,3.9018691588785
unknown,1451,207705.09,143.14616815989,90.8764367816092,3.91278665740097
utilidades_domesticas,5884,778397.769999998,132.290579537729,93.0524116315515,4.14222146157796
